Address       True          Mine
100000 e1641814363b1e3b1fe8a072bfb3651,    641814363b1e3b10000072b003651
100010 488baab73a0edaeaa814071755a3e668,    480000003a0e000014071755000068
100020 e1641814363b1e3b1fe8a072bfb3651,    641814363b1e3b10000072b003651
100030 488baab73a0edaeaa814071755a3e668,    480000003a0e000014071755000068
100040 3c153aa1cd3e4e2a8608fe6497e6d743,    3c153a003e4e2a8006443
100050 399399a786a113b62b0ac0838a71eaf9,    3900000013002b0a0000710000
100060 3c153aa1cd3e4e2a8608fe6497e6d743,    3c153a003e4e2a8006443
100070 399399a786a113b62b0ac0838a71eaf9,    3900000013002b0a0000710000
100080 92a0c47e3c8f24147185970a5d32215e,    7e3c0024147100000a5d32215e
100090 67275929cd07af9ca41c5e4e27cdf1,    672759290007001c5e4e270000
1000a0 92a0c47e3c8f24147185970a5d32215e,    7e3c0024147100000a5d32215e
1000b0 67275929cd07af9ca41c5e4e27cdf1,    672759290007001c5e4e270000
1000c0 2c1f873889991f3cb6c5ea36d518c28c,    2c1f00381f3c36180000
1000d0 8d419ea0f371951e182a636531b253e,    410000f37195136531b253e
1000e0 2c1f873889991f3cb6c5ea36d518c28c,    2c1f00381f3c36180000
1000f0 8d419ea0f371951e182a636531b253e,    410000f37195136531b253e
100100 9ab6119e1afeced16c280b61e7c3d3a,    90061190160000001e7c3d3a
100110 10c5dc3f10347ea8d3e5a1e02e20ca88,    1000003f10347e0002e200000
100120 9ab6119e1afeced16c280b61e7c3d3a,    90061190160000001e7c3d3a
100130 10c5dc3f10347ea8d3e5a1e02e20ca88,    1000003f10347e0002e200000
100140 adb3be9dda07f23a9faf9749681924,    07003a00000049681924
100150 e15b76a62c261adfab68c35cb5f781a4,    5b76002c261a0068005c0
100160 adb3be9dda07f23a9faf9749681924,    07003a00000049681924
100170 e15b76a62c261adfab68c35cb5f781a4,    5b76002c261a0068005c0
100180 d823310db1c929c254760cdcf380d344,    23310d290054760c0044
100190 5d50b487bfe8e95173a1c1499ac209d0,    5d5000005173000049900
1001a0 d823310db1c929c254760cdcf380d344,    23310d290054760c0044
1001b0 5d50b487bfe8e95173a1c1499ac209d0,    5d5000005173000049900
1001c0 8e05525629338e9394d12f3f995cc8d2,    55256293300002f3f5c0000
1001d0 160858d3fbc6e3aa4a5cdfbcbb14202,    16085800040000004202
1001e0 8e05525629338e9394d12f3f995cc8d2,    55256293300002f3f5c0000
1001f0 160858d3fbc6e3aa4a5cdfbcbb14202,    16085800040000004202
100200 fcec432db28a81ef7c49e35a7fa4a9f9,    432d07c49005a7f000000
100210 2b8d1c5661f26e8d44635c9e8df5904,    2b001c5661006e0044635005904
100220 fcec432db28a81ef7c49e35a7fa4a9f9,    432d07c49005a7f000000
100230 2b8d1c5661f26e8d44635c9e8df5904,    2b001c5661006e0044635005904
100240 927249914216ff7133440b61e555539c,    7249004216007133440b61555300
100250 a3dde61820efdea3214228099301a1,    a3d0061e0000321422009000100
100260 927249914216ff7133440b61e555539c,    7249004216007133440b61555300
100270 a3dde61820efdea3214228099301a1,    a3d0061e0000321422009000100
100280 601999a3ff251b4fbfc029883f7c663a,    60190000251b4f29003f7c663a
100290 d21879eec3b30606b2a4cc8ca98a7617,    18790060607617
1002a0 601999a3ff251b4fbfc029883f7c663a,    60190000251b4f29003f7c663a
1002b0 d21879eec3b30606b2a4cc8ca98a7617,    18790060607617
1002c0 846975a7f0c29a033ea3da1e7f98d52,    69750033003d0052
1002d0 79afc1fafc634fd86f24fb3f5a4e1bfa,    79000000634f006f24003f5a4e1b00
1002e0 846975a7f0c29a033ea3da1e7f98d52,    69750033003d0052
1002f0 79afc1fafc634fd86f24fb3f5a4e1bfa,    79000000634f006f24003f5a4e1b00
100300 1ed3c98adada20134e9ce1833d906048,    1e00000020134e0000003d006048
100310 98baa85dd91a94734b6b4d0e5be3865,    900000047340000003865
100320 1ed3c98adada20134e9ce1833d906048,    1e00000020134e0000003d006048
100330 98baa85dd91a94734b6b4d0e5be3865,    900000047340000003865
100340 abd6e06c9fcaf9dbf09e602f4d7fba16,    6c0602f4d7f0016
100350 b0a6dbf7c63d6c6dac577aa2cda34de9,    03d6c6d577a004d00
100360 abd6e06c9fcaf9dbf09e602f4d7fba16,    6c0602f4d7f0016
100370 b0a6dbf7c63d6c6dac577aa2cda34de9,    03d6c6d577a004d00
100380 85716dada672200e58cedae45bf14f41,    716d0072200e580000005b004f41
100390 f210f03a476bfe65857606118ba9ea5e,    10003a476b00657606115e
1003a0 85716dada672200e58cedae45bf14f41,    716d0072200e580000005b004f41
1003b0 f210f03a476bfe65857606118ba9ea5e,    10003a476b00657606115e
1003c0 808d3a05c3c49549a2f511edfaea88d6,    3a054911000
1003d0 379658989ab725769fa35aebaba6280f,    3700580025765a00280f
1003e0 808d3a05c3c49549a2f511edfaea88d6,    3a054911000
1003f0 379658989ab725769fa35aebaba6280f,    3700580025765a00280f
100400 90fff80d70ea7b83b4c3d361fe936126,    d70007b00616126
100410 7c5511593da82ab77145b19f1a2a27bf,    7c5511593d002a00714500001a2a2700
100420 90fff80d70ea7b83b4c3d361fe936126,    d70007b00616126
100430 7c5511593da82ab77145b19f1a2a27bf,    7c5511593d002a00714500001a2a2700
100440 29008c3aebece815f5ca7d2d525b30f4,    2900003a157d2d525b3000
100450 514d57aafefe2b288f57ba722eb928a,    514d57002b285700722000000
100460 29008c3aebece815f5ca7d2d525b30f4,    2900003a157d2d525b3000
100470 514d57aafefe2b288f57ba722eb928a,    514d57002b285700722000000
100480 cdeba06b6e795f53ef8fb483e87a449c,    6b6e795f5307a4400
100490 e7600cc3abce637009c6ece3af9ea,    600c63700006e3a0000
1004a0 cdeba06b6e795f53ef8fb483e87a449c,    6b6e795f5307a4400
1004b0 e7600cc3abce637009c6ece3af9ea,    600c63700006e3a0000
1004c0 85a74150542f97ece0ebf11689fc72f6,    4150542f0000167200
1004d0 cabf73ea6f8deab9fdb952a2c58317ea,    73006f00000052001700
1004e0 85a74150542f97ece0ebf11689fc72f6,    4150542f0000167200
1004f0 cabf73ea6f8deab9fdb952a2c58317ea,    73006f00000052001700
100500 15adc2b3ddbe47cb762163c1d77df908,    150000004700762163007d0008
100510 90408ebed128b36836d7269ff5bc81e,    90408001200366d72695b001e
100520 15adc2b3ddbe47cb762163c1d77df908,    150000004700762163007d0008
100530 90408ebed128b36836d7269ff5bc81e,    90408001200366d72695b001e
100540 5c0860886e2b3445dcc0f25c9689bfe0,    5c0860006e2b34455c0
100550 aa3b4ee12addfc9376c688eb2e25eb2,    3b4e002000000376c68005e00
100560 5c0860886e2b3445dcc0f25c9689bfe0,    5c0860006e2b34455c0
100570 aa3b4ee12addfc9376c688eb2e25eb2,    3b4e002000000376c68005e00
100580 f64a6065c65c848ec69e4e7b58a63d,    4a60655c00004e7b58003d
100590 a77aaa6639e9fbff59e460ece7d7691a,    7a00663900000059006000691a
1005a0 f64a6065c65c848ec69e4e7b58a63d,    4a60655c00004e7b58003d
1005b0 a77aaa6639e9fbff59e460ece7d7691a,    7a00663900000059006000691a
1005c0 9bfa769aea9c17014901def9c339252,    7600170149010000c330052
1005d0 63158e6ef44b31e1e34bb202964faac1,    6315006e4b31004b00024f0000
1005e0 9bfa769aea9c17014901def9c339252,    7600170149010000c330052
1005f0 63158e6ef44b31e1e34bb202964faac1,    6315006e4b31004b00024f0000
100600 72bbe85f236404a95c13e04aa9b9bdd,    7200005f236404005003e040
100610 1c36a4df7923fb6cf79a4ec5bad8d21,    1006a4d3f007900005b000021
100620 72bbe85f236404a95c13e04aa9b9bdd,    7200005f236404005003e040
100630 1c36a4df7923fb6cf79a4ec5bad8d21,    1006a4d3f007900005b000021
100640 3085041c59d76eea80992aa1bd571a1f,    3000041c59006e002a00571a1f
100650 bc25d6d31df7f83d28bc2e6ee046bc7c,    2500001d00003d28002e6e46007c
100660 3085041c59d76eea80992aa1bd571a1f,    3000041c59006e002a00571a1f
100670 bc25d6d31df7f83d28bc2e6ee046bc7c,    2500001d00003d28002e6e46007c
100680 10d0e357ea7b8aa6caee0bc65959ce48,    100000577b0000b0059590048
100690 1d1a3d5b9e9152e545214030ee953a06,    1d1a3d5b5200452140303a06
1006a0 10d0e357ea7b8aa6caee0bc65959ce48,    100000577b0000b0059590048
1006b0 1d1a3d5b9e9152e545214030ee953a06,    1d1a3d5b5200452140303a06
1006c0 c9a102a7f2701b0409caf64ac2ff20,    200f27010040900004a000020
1006d0 c95d7c0ce5d8be96a5271c00eb780f95,    5d7c0c0271c00780f00
1006e0 c9a102a7f2701b0409caf64ac2ff20,    200f27010040900004a000020
1006f0 c95d7c0ce5d8be96a5271c00eb780f95,    5d7c0c0271c00780f00
